Total time to construct inverted index: 15.814880609512329 seconds.
Size of inverted index: 
unique terms indexed: 13352
average postings list length: 6.995206710605153 postings
total unique positional indicies: 93400

*********************
Token: bart
Found in 104 documents
docID: 3.22 @ position 40
docID: 3.22 @ position 135
docID: 3.23 @ position 10
docID: 3.23 @ position 20
docID: 3.23 @ position 44
docID: 3.23 @ position 54
docID: 3.23 @ position 68
docID: 3.23 @ position 83
docID: 3.23 @ position 115
docID: 3.23 @ position 121
docID: 3.23 @ position 124
docID: 3.23 @ position 139
docID: 3.23 @ position 306
docID: 3.23 @ position 333
docID: 3.23 @ position 360
docID: 3.23 @ position 362
docID: 3.23 @ position 373
docID: 3.23 @ position 380
docID: 3.23 @ position 445
docID: 3.23 @ position 604
docID: 3.23 @ position 712
docID: 3.24 @ position 154
docID: 4.1 @ position 17
docID: 4.1 @ position 30
docID: 4.1 @ position 38
docID: 4.1 @ position 47
docID: 4.1 @ position 56
docID: 4.1 @ position 129
docID: 4.1 @ position 168
docID: 4.1 @ position 182
docID: 4.1 @ position 188
docID: 4.1 @ position 198
docID: 4.5 @ position 46
docID: 4.5 @ position 82
docID: 4.5 @ position 107
docID: 4.5 @ position 360
docID: 4.5 @ position 384
docID: 4.5 @ position 394
docID: 4.5 @ position 453
docID: 4.5 @ position 644
docID: 4.5 @ position 834
docID: 4.6 @ position 30
docID: 4.6 @ position 42
docID: 4.6 @ position 60
docID: 4.6 @ position 64
docID: 4.6 @ position 84
docID: 4.6 @ position 94
docID: 4.6 @ position 122
docID: 4.6 @ position 130
docID: 4.6 @ position 134
docID: 4.6 @ position 141
docID: 4.6 @ position 166
docID: 4.6 @ position 174
docID: 4.6 @ position 182
docID: 4.6 @ position 191
docID: 4.6 @ position 216
docID: 4.6 @ position 701
docID: 4.7 @ position 106
docID: 4.7 @ position 116
docID: 4.7 @ position 122
docID: 4.7 @ position 143
docID: 4.7 @ position 210
docID: 4.7 @ position 222
docID: 4.7 @ position 227
docID: 4.7 @ position 237
docID: 4.7 @ position 362
docID: 4.7 @ position 373
docID: 4.7 @ position 485
docID: 4.7 @ position 628
docID: 4.7 @ position 639
docID: 4.7 @ position 691
docID: 4.7 @ position 741
docID: 4.7 @ position 755
docID: 4.8 @ position 26
docID: 4.8 @ position 116
docID: 4.8 @ position 124
docID: 4.8 @ position 144
docID: 4.8 @ position 204
docID: 4.9 @ position 755
docID: 4.10 @ position 128
docID: 4.10 @ position 139
docID: 4.10 @ position 146
docID: 4.10 @ position 157
docID: 4.10 @ position 305
docID: 4.10 @ position 320
docID: 4.10 @ position 378
docID: 4.10 @ position 388
docID: 4.10 @ position 400
docID: 4.10 @ position 1121
docID: 4.10 @ position 1147
docID: 4.10 @ position 1167
docID: 4.10 @ position 1176
docID: 4.10 @ position 1210
docID: 4.10 @ position 1222
docID: 4.10 @ position 1241
docID: 4.10 @ position 1344
docID: 4.11 @ position 274
docID: 4.11 @ position 464
docID: 4.11 @ position 529
docID: 4.12 @ position 186
docID: 4.13 @ position 138
docID: 4.13 @ position 157
docID: 4.13 @ position 442
docID: 4.13 @ position 483
docID: 4.14 @ position 7
docID: 4.14 @ position 21
docID: 4.14 @ position 33
docID: 4.14 @ position 91
docID: 4.14 @ position 234
docID: 4.14 @ position 279
docID: 4.14 @ position 483
docID: 4.14 @ position 495
docID: 4.14 @ position 513
docID: 4.14 @ position 528
docID: 4.14 @ position 546
docID: 4.14 @ position 572
docID: 4.14 @ position 588
docID: 4.14 @ position 709
docID: 4.14 @ position 718
docID: 4.14 @ position 721
docID: 4.15 @ position 133
docID: 4.15 @ position 572
docID: 4.15 @ position 676
docID: 4.15 @ position 795
docID: 4.15 @ position 872
docID: 4.15 @ position 931
docID: 4.16 @ position 30
docID: 4.16 @ position 59
docID: 4.16 @ position 70
docID: 4.16 @ position 107
docID: 4.16 @ position 243
docID: 4.16 @ position 330
docID: 4.16 @ position 357
docID: 4.16 @ position 483
docID: 4.16 @ position 504
docID: 4.18 @ position 13
docID: 4.18 @ position 20
docID: 4.18 @ position 94
docID: 4.18 @ position 108
docID: 4.18 @ position 132
docID: 4.18 @ position 328
docID: 4.18 @ position 400
docID: 4.18 @ position 521
docID: 4.18 @ position 602
docID: 4.18 @ position 606
docID: 4.18 @ position 613
docID: 4.18 @ position 621
docID: 4.18 @ position 627
docID: 4.18 @ position 642
docID: 4.18 @ position 675
docID: 4.18 @ position 770
docID: 4.19 @ position 144
docID: 4.19 @ position 507
docID: 4.20 @ position 11
docID: 4.20 @ position 27
docID: 4.20 @ position 62
docID: 4.20 @ position 66
docID: 4.20 @ position 118
docID: 4.20 @ position 192
docID: 4.20 @ position 224
docID: 4.21 @ position 371
docID: 4.21 @ position 938
docID: 4.22 @ position 9
docID: 4.22 @ position 163
docID: 4.22 @ position 1531
docID: 5.1 @ position 982
docID: 5.2 @ position 136
docID: 5.2 @ position 659
docID: 5.3 @ position 118
docID: 5.3 @ position 181
docID: 5.3 @ position 1418
docID: 5.4 @ position 153
docID: 5.5 @ position 5
docID: 5.5 @ position 249
docID: 5.5 @ position 269
docID: 5.5 @ position 292
docID: 5.5 @ position 311
docID: 5.5 @ position 320
docID: 5.5 @ position 353
docID: 5.5 @ position 361
docID: 5.5 @ position 381
docID: 5.5 @ position 391
docID: 5.5 @ position 495
docID: 5.5 @ position 521
docID: 5.5 @ position 535
docID: 5.5 @ position 546
docID: 5.5 @ position 554
docID: 5.5 @ position 723
docID: 5.5 @ position 933
docID: 5.5 @ position 1344
docID: 5.5 @ position 1351
docID: 5.6 @ position 89
docID: 5.7 @ position 41
docID: 5.7 @ position 111
docID: 5.7 @ position 116
docID: 5.7 @ position 129
docID: 5.7 @ position 138
docID: 5.7 @ position 144
docID: 5.7 @ position 196
docID: 5.7 @ position 228
docID: 5.7 @ position 794
docID: 5.8 @ position 1
docID: 5.8 @ position 34
docID: 5.8 @ position 48
docID: 5.8 @ position 83
docID: 5.8 @ position 98
docID: 5.8 @ position 149
docID: 5.8 @ position 164
docID: 5.8 @ position 312
docID: 5.8 @ position 414
docID: 5.8 @ position 451
docID: 5.8 @ position 686
docID: 5.8 @ position 849
docID: 5.8 @ position 872
docID: 5.9 @ position 98
docID: 5.9 @ position 107
docID: 5.9 @ position 125
docID: 5.9 @ position 136
docID: 5.9 @ position 169
docID: 5.9 @ position 178
docID: 5.9 @ position 501
docID: 5.9 @ position 1260
docID: 5.10 @ position 79
